name,link,rating,enroll,instructor,time,levelrequirement,skillrequirement,SkillWillLearn,Description,SkillGain,Subject,organization,fee,program,linkprogram,RelationInsOrg,Subtitle
Statistics with SAS,https://www.coursera.org/learn/sas-statistics,4.8,"23,747",Jordan Bakerman,20 hours,Intermediate,,"This introductory course is for SAS software users who perform statistical analyses using SAS/STAT software. The focus is on t tests, ANOVA, and linear regression, and includes a brief introduction to logistic regression.",,,Data Science,SAS,Get started for Free,,,Jordan Bakerman work for SAS,"Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
"Foundations: Data, Data, Everywhere",https://www.coursera.org/learn/foundations-data?specialization=google-data-analytics,4.8,"667,569",Google Career Certificates,20 hours,Beginner,No prior experience with spreadsheets or data analytics required. All you need is high school level math and curiosity about how things work. ,"What you will learn. Define and explain key concepts involved in data analytics including data, data analysis, and data ecosystem. Conduct an analytical thinking self assessment giving specific examples of the application of analytical thinking. Discuss the role of spreadsheets, query languages, and data visualization tools in data analytics. Describe the role of a data analyst with specific reference to jobs/positions.",,Skills you will gain. Spreadsheet. Data Cleansing. Data Analysis. Data Visualization (DataViz). SQL.,Data Science,Google,Start Learning for Free,Google Data Analytics Professional Certificate,https://www.coursera.org/professional-certificates/google-data-analytics,Google Career Certificates work for Google,English
