,name,link,rating,enroll,instructor,time,levelrequirement,skillrequirement,SkillWillLearn,Description,SkillGain,Subject,organization,fee,program,linkprogram,RelationInsOrg,Subtitle,knowledge,tool,framework,platform,language,task,soft,descriptionNER
0,Statistics with SAS,https://www.coursera.org/learn/sas-statistics,4.8,"23,747",Jordan Bakerman,20 hours,Intermediate,,"This introductory course is for SAS software users who perform statistical analyses using SAS/STAT software. The focus is on t tests, ANOVA, and linear regression, and includes a brief introduction to logistic regression.",,,Data Science,SAS,Get started for Free,,,Jordan Bakerman work for SAS,"Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",[],"['sas %% 0.5150154', 'sas %% 0.6754905']",[],[],[],"['statistical analyses %% 0.49169838', 't tests %% 0.48549956', 'an %% 0.84644365', 'linear regression %% 0.74944234', 'log %% 0.9395235', 'regression %% 0.92997396']",[],"This introductory course is for SAS(TOOL) software users who perform statistical analyses(TECHNIQUE) using SAS(TOOL)/STAT software. The focus is on t tests(TECHNIQUE), AN(TECHNIQUE)OVA, and linear regression(TECHNIQUE), and includes a brief introduction to log(TECHNIQUE)istic regression(TECHNIQUE).nan"
1,"Foundations: Data, Data, Everywhere",https://www.coursera.org/learn/foundations-data?specialization=google-data-analytics,4.8,"667,569",Google Career Certificates,20 hours,Beginner,No prior experience with spreadsheets or data analytics required. All you need is high school level math and curiosity about how things work. ,"What you will learn. Define and explain key concepts involved in data analytics including data, data analysis, and data ecosystem. Conduct an analytical thinking self assessment giving specific examples of the application of analytical thinking. Discuss the role of spreadsheets, query languages, and data visualization tools in data analytics. Describe the role of a data analyst with specific reference to jobs/positions.",,Skills you will gain. Spreadsheet. Data Cleansing. Data Analysis. Data Visualization (DataViz). SQL.,Data Science,Google,Start Learning for Free,Google Data Analytics Professional Certificate,https://www.coursera.org/professional-certificates/google-data-analytics,Google Career Certificates work for Google,English,"['data analytics %% 0.78075165', 'data %% 0.39707625', 'data analysis %% 0.89093244', 'data visual %% 0.85038555', 'data analytics %% 0.8578441']",['spreads %% 0.9546486'],[],[],[],['analytical thinking %% 0.6667252'],[],"What you will learn. Define and explain key concepts involved in data analytics(KNOWLEDGE) including data(KNOWLEDGE), data analysis(KNOWLEDGE), and data ecosystem. Conduct an analytical thinking self assessment giving specific examples of the application of analytical thinking(TECHNIQUE). Discuss the role of spreads(TOOL)heets, query languages, and data visual(KNOWLEDGE)ization tools in data analytics(KNOWLEDGE). Describe the role of a data analyst with specific reference to jobs/positions.nan"
